workload,sigma_pct,seed,scheduler,n_ops,feasible,valid,makespan_us,deadline_miss_count,total_lateness_us,cross_device_transitions,critical_path_us,solver_wall_time_s,error
sensor_fusion_diamond,0.0,4,gnn_placement,16,True,True,480.0,0,0.0,3,470.0,0.0022093880688771605,
sensor_fusion_diamond,0.0,4,simulated_annealing,16,True,True,480.0,0,0.0,3,470.0,0.025791181018576026,
sensor_fusion_diamond,0.0,4,peft,16,True,True,480.0,0,0.0,3,470.0,0.0004409060347825289,
sensor_fusion_diamond,10.0,0,heft,16,True,True,457.4155250000406,0,0.0,2,447.4155250000406,0.00028700404800474644,
sensor_fusion_diamond,10.0,0,edf,16,True,True,492.12874403491,0,0.0,1,492.12874403491,0.00036617403384298086,
sensor_fusion_diamond,10.0,0,fastest_device,16,True,True,497.02042445607583,0,0.0,3,432.02042445607583,0.00026523193810135126,
sensor_fusion_diamond,10.0,0,cpsat,16,True,False,458.4989743312733,0,0.0,2,447.4155250000406,0.09743428393267095,
sensor_fusion_diamond,10.0,0,gnn_placement,16,True,True,457.4155250000406,0,0.0,2,447.4155250000406,0.0019933090079575777,
sensor_fusion_diamond,10.0,0,simulated_annealing,16,True,True,457.4155250000406,0,0.0,2,447.4155250000406,0.030991166946478188,
sensor_fusion_diamond,10.0,0,peft,16,True,True,457.4155250000406,0,0.0,2,447.4155250000406,0.00039521907456219196,
sensor_fusion_diamond,10.0,1,heft,16,True,True,474.96739065200404,0,0.0,2,465.5425269879117,0.00037191505543887615,
sensor_fusion_diamond,10.0,1,edf,16,True,True,585.6131348150496,0,0.0,1,581.1882711509572,0.00036365899723023176,
sensor_fusion_diamond,10.0,1,fastest_device,16,True,True,509.1191091175475,0,0.0,3,444.6942454534551,0.00022570800501853228,
sensor_fusion_diamond,10.0,1,cpsat,16,True,False,475.86737468851743,0,0.0,2,465.5425269879117,0.1255430179880932,
sensor_fusion_diamond,10.0,1,gnn_placement,16,True,True,474.96739065200404,0,0.0,2,465.5425269879117,0.002032151911407709,
sensor_fusion_diamond,10.0,1,simulated_annealing,16,True,True,474.96739065200404,0,0.0,2,465.5425269879117,0.023564951959997416,
sensor_fusion_diamond,10.0,1,peft,16,True,True,474.96739065200404,0,0.0,2,465.5425269879117,0.0006140139885246754,
sensor_fusion_diamond,10.0,2,heft,16,True,True,467.93389389774495,0,0.0,3,455.3300276355284,0.0004094869364053011,
sensor_fusion_diamond,10.0,2,edf,16,True,True,499.4575070470107,0,0.0,1,496.85364078479415,0.0004048679256811738,
sensor_fusion_diamond,10.0,2,fastest_device,16,True,True,555.6002571799934,0,0.0,5,435.4675697664428,0.00029465893749147654,
sensor_fusion_diamond,10.0,2,cpsat,16,True,False,468.48402655141115,0,0.0,2,458.66048434232266,0.09304159902967513,
sensor_fusion_diamond,10.0,2,gnn_placement,16,True,True,467.93389389774495,0,0.0,3,455.3300276355284,0.0019601850071921945,
sensor_fusion_diamond,10.0,2,simulated_annealing,16,True,True,467.93389389774495,0,0.0,3,455.3300276355284,0.023741838056594133,
sensor_fusion_diamond,10.0,2,peft,16,True,True,467.93389389774495,0,0.0,3,455.3300276355284,0.00038339593447744846,
sensor_fusion_diamond,10.0,3,heft,16,True,True,485.2101495479373,0,0.0,3,475.2101495479373,0.0003153979778289795,
sensor_fusion_diamond,10.0,3,edf,16,True,True,515.3494959446751,0,0.0,1,515.3494959446751,0.0003483700565993786,
sensor_fusion_diamond,10.0,3,fastest_device,16,True,True,513.816098489391,0,0.0,3,448.81609848939104,0.00023229001089930534,
sensor_fusion_diamond,10.0,3,cpsat,16,True,False,482.81885716219574,0,0.0,2,472.7395532773562,0.057302484987303615,
sensor_fusion_diamond,10.0,3,gnn_placement,16,True,True,485.2101495479373,0,0.0,3,475.2101495479373,0.002214867970906198,
sensor_fusion_diamond,10.0,3,simulated_annealing,16,True,True,482.7395532773562,0,0.0,2,472.7395532773562,0.03078068804461509,
sensor_fusion_diamond,10.0,3,peft,16,True,True,485.2101495479373,0,0.0,3,475.2101495479373,0.0004405049839988351,
sensor_fusion_diamond,10.0,4,heft,16,True,True,467.535866161077,0,0.0,3,457.535866161077,0.00034569494891911745,
sensor_fusion_diamond,10.0,4,edf,16,True,True,490.9681779599417,0,0.0,1,490.9681779599417,0.0003040559822693467,
sensor_fusion_diamond,10.0,4,fastest_device,16,True,True,493.716753304867,0,0.0,3,428.716753304867,0.00024779001250863075,
sensor_fusion_diamond,10.0,4,cpsat,16,True,False,464.46047112801546,0,0.0,2,452.5376434114363,0.13432393094990402,
sensor_fusion_diamond,10.0,4,gnn_placement,16,True,True,467.535866161077,0,0.0,3,457.535866161077,0.002199909999035299,
sensor_fusion_diamond,10.0,4,simulated_annealing,16,True,True,467.535866161077,0,0.0,3,457.535866161077,0.026348226936534047,
sensor_fusion_diamond,10.0,4,peft,16,True,True,467.535866161077,0,0.0,3,457.535866161077,0.00048670300748199224,
sensor_fusion_diamond,25.0,0,heft,16,True,True,463.0423442215765,0,0.0,1,458.87061778267355,0.00031769205816090107,
sensor_fusion_diamond,25.0,0,edf,16,True,True,463.0423442215765,0,0.0,1,458.87061778267355,0.0003751909825950861,
sensor_fusion_diamond,25.0,0,fastest_device,16,True,True,504.5677169282351,0,0.0,3,440.3959904893321,0.00027734600007534027,
sensor_fusion_diamond,25.0,0,cpsat,16,True,False,463.995971712083,0,0.0,1,458.87061778267355,0.05321286292746663,
sensor_fusion_diamond,25.0,0,gnn_placement,16,True,True,463.0423442215765,0,0.0,1,458.87061778267355,0.0018769270973280072,
sensor_fusion_diamond,25.0,0,simulated_annealing,16,True,True,463.0423442215765,0,0.0,1,458.87061778267355,0.022842343081720173,
sensor_fusion_diamond,25.0,0,peft,16,True,True,463.0423442215765,0,0.0,1,458.87061778267355,0.00039751396980136633,
sensor_fusion_diamond,25.0,1,heft,16,True,True,409.5281757194756,0,0.0,2,404.5281757194756,0.0002994269598275423,
sensor_fusion_diamond,25.0,1,edf,16,True,True,575.976097176695,0,0.0,1,575.976097176695,0.00030372594483196735,
sensor_fusion_diamond,25.0,1,fastest_device,16,True,True,488.93756827061026,0,0.0,5,384.300799914704,0.00021134002599865198,
sensor_fusion_diamond,25.0,1,cpsat,16,True,False,408.36904790446073,0,0.0,2,404.5281757194756,0.06624165596440434,
sensor_fusion_diamond,25.0,1,gnn_placement,16,True,True,409.5281757194756,0,0.0,2,404.5281757194756,0.0026416759938001633,
sensor_fusion_diamond,25.0,1,simulated_annealing,16,True,True,409.5281757194756,0,0.0,2,404.5281757194756,0.024385937955230474,
sensor_fusion_diamond,25.0,1,peft,16,True,True,409.5281757194756,0,0.0,2,404.5281757194756,0.00042399298399686813,
sensor_fusion_diamond,25.0,2,heft,16,True,True,488.8691680957162,0,0.0,4,422.96239057190644,0.00033900293055921793,
sensor_fusion_diamond,25.0,2,edf,16,True,True,509.9188443249632,0,0.0,1,509.0120668011533,0.00037438003346323967,
sensor_fusion_diamond,25.0,2,fastest_device,16,True,True,519.1300278736878,0,0.0,4,422.96239057190644,0.00022560800425708294,
sensor_fusion_diamond,25.0,2,cpsat,16,True,False,510.30302947598534,0,0.0,1,509.0120668011533,0.08270968799479306,
sensor_fusion_diamond,25.0,2,gnn_placement,16,True,True,488.8691680957162,0,0.0,4,422.96239057190644,0.0021848109317943454,
sensor_fusion_diamond,25.0,2,simulated_annealing,16,True,True,488.8691680957162,0,0.0,4,422.96239057190644,0.025069604045711458,
sensor_fusion_diamond,25.0,2,peft,16,True,True,488.8691680957162,0,0.0,4,422.96239057190644,0.0003937359433621168,
