dispatch_id,module_name,mean_time,mean_unit,mean_time_ns,returncode,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation,name
21,yolov8_nano$dispatch_21_rvv_x60_conv2d_batchnorm2d_silu_s8,0.490792,ms,490791.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=128;IH=4;IW=6;OC=128;OH=4;OW=6;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,11779,5,1.48,curated[rvv],l6.cv1.conv
23,yolov8_nano$dispatch_23_rvv_x60_conv2d_batchnorm2d_silu_s8,0.542625,ms,542625.000,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=4;IW=6;OC=64;OH=4;OW=6;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,13023,5,3.95,curated[rvv],l6.m0.cv1.conv
24,yolov8_nano$dispatch_24_rvv_x60_conv2d_batchnorm2d_silu_s8,0.563250,ms,563250.000,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=4;IW=6;OC=64;OH=4;OW=6;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,13518,5,3.84,curated[rvv],l6.m0.cv2.conv
25,yolov8_nano$dispatch_25_rvv_x60_add_s8,0.008792,ms,8791.667,0,k1,add_s8,n=1536,211,5,2.45,curated[rvv],add_3
26,yolov8_nano$dispatch_26_rvv_x60_conv2d_batchnorm2d_silu_s8,0.549542,ms,549541.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=4;IW=6;OC=64;OH=4;OW=6;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,13189,5,2.26,curated[rvv],l6.m1.cv1.conv
27,yolov8_nano$dispatch_27_rvv_x60_conv2d_batchnorm2d_silu_s8,0.537083,ms,537083.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=64;IH=4;IW=6;OC=64;OH=4;OW=6;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,12890,5,0.31,curated[rvv],l6.m1.cv2.conv
28,yolov8_nano$dispatch_28_rvv_x60_add_s8,0.008333,ms,8333.333,0,k1,add_s8,n=1536,200,5,0.89,curated[rvv],add_4
29,yolov8_nano$dispatch_29_rvv_x60_cat4_c1_s8,0.006917,ms,6916.667,0,k1,cat4_c1_s8,N=1;H=4;W=6;C_inputs=64|64|64|64;C_total=256,166,5,6.67,curated[rvv],cat_2
30,yolov8_nano$dispatch_30_rvv_x60_conv2d_batchnorm2d_silu_s8,0.877958,ms,877958.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=256;IH=4;IW=6;OC=128;OH=4;OW=6;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,21071,5,1.92,curated[rvv],l6.cv2.conv
31,yolov8_nano$dispatch_31_rvv_x60_conv2d_batchnorm2d_silu_s8,0.977292,ms,977291.667,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=128;IH=4;IW=6;OC=256;OH=2;OW=3;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,23455,5,6.36,curated[rvv],l7.conv
32,yolov8_nano$dispatch_32_rvv_x60_conv2d_batchnorm2d_silu_s8,0.438083,ms,438083.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=256;IH=2;IW=3;OC=256;OH=2;OW=3;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,10514,5,0.41,curated[rvv],l8.cv1.conv
34,yolov8_nano$dispatch_34_rvv_x60_conv2d_batchnorm2d_silu_s8,0.456208,ms,456208.333,0,k1,conv2d_batchnorm2d_silu_s8,N=1;IC=128;IH=2;IW=3;OC=128;OH=2;OW=3;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,10949,5,3.92,curated[rvv],l8.m0.cv1.conv
