seg_id,ctx_seg_id,network,instance,kind,backend_label,actual_backend,n_ops,predicted_start_ms,predicted_duration_ms,kind_idx,dep_wait_done_ms,gate_done_ms,actual_start_ms,actual_end_ms
84,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_21_tramp_p1,CPU,1,2524.687210,19.073690,0,2527.664047,2527.664151,2527.669567,2541.096738
85,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_21_conv2,HTA,1,2543.760900,9.321380,1,2541.438141,2543.761506,2543.768329,2552.743144
86,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_21_tramp_p2,CPU,1,2553.082280,48.383300,0,2552.990642,2553.082568,2553.087151,2602.261552
87,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_21,CPU,1,2601.465580,9.164550,0,2602.276188,2602.276448,2602.280302,2611.406991
88,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_22,CPU,1,2610.630130,112.958160,0,2611.707144,2611.707301,2611.710426,2714.416533
89,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_22,CPU,1,2723.588290,35.888020,0,2714.431168,2723.588377,2723.593429,2760.473462
90,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_23_tramp_p0,CPU,1,2759.476310,3.153390,0,2760.488097,2760.488201,2760.491535,2764.464676
91,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_23_conv1,HTA,1,2762.629700,3.289740,1,2764.776704,2764.776809,2764.781861,2768.744690
92,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_23_tramp_p1,CPU,1,2765.919440,17.209330,0,2768.976354,2768.976510,2768.980312,2781.832124
93,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_23_conv2,HTA,1,2783.128770,9.268290,1,2782.158371,2783.129039,2783.135498,2793.724829
94,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_23_tramp_p2,CPU,1,2792.397060,48.373150,0,2793.986858,2793.986962,2793.991910,2842.602098
95,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_23,CPU,1,2840.770210,9.163090,0,2842.616993,2842.617098,2842.621056,2851.772432
96,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_24,CPU,1,2849.933300,77.804310,0,2851.782536,2851.782744,2851.785609,2921.429149
