seg_id,ctx_seg_id,network,instance,kind,backend_label,actual_backend,n_ops,predicted_start_ms,predicted_duration_ms,kind_idx,dep_wait_done_ms,gate_done_ms,actual_start_ms,actual_end_ms
96,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_16_tramp_p2,DSP,1,1501.731640,49.723170,1,8531.942519,8531.942623,8531.951780,8576.739289
97,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_16,CPU,1,1551.454810,36.225830,0,8576.983317,8576.983525,8576.989717,8645.639234
98,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_17_tramp_p0,DSP,1,1587.680640,2.609690,1,8735.507241,8735.507501,8735.518063,8737.913651
99,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_17_conv1,HTA,1,1590.290330,3.217110,2,8737.963861,8737.964017,8737.971406,8741.544781
100,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_17_tramp_p1,DSP,1,1593.507440,6.390630,1,8807.079061,8807.079165,8807.084108,8812.466986
101,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_17_conv2,HTA,1,1599.898070,9.277210,2,8836.134134,8836.134290,8836.139285,8846.529266
102,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_17_tramp_p2,DSP,1,1609.175280,21.064870,1,13923.689038,13923.689194,14006.030707,14026.913855
103,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_17,CPU,1,1630.240150,9.169410,0,14111.775968,14111.776072,14111.781797,14122.366030
104,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_18_tramp_p0,DSP,1,1639.409560,18.523440,1,14128.232061,14128.232165,14128.236849,14143.776563
105,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_18_conv1,HTA,1,1657.933000,15.534550,2,14145.079489,14145.079697,14145.086099,14163.108368
106,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_18_tramp_p1,DSP,1,1673.467550,6.278160,1,14174.004878,14174.004982,14174.011592,14179.075538
