policy,contention_level,seed,task,instance,criticality,release_time,start_time,end_time,deadline
probe_defer40,4,0,mlp_control,57,hard,570.0,570.0,570.5460739999999,580.0
probe_defer40,4,0,mlp_control,58,hard,580.0,580.0,580.5460739999999,590.0
probe_defer40,4,0,mlp_control,59,hard,590.0,590.0,590.5460739999999,600.0
probe_defer40,4,0,mlp_control,6,hard,60.0,60.0,60.546074,70.0
probe_defer40,4,0,mlp_control,60,hard,600.0,600.0,600.6096389999999,610.0
probe_defer40,4,0,mlp_control,61,hard,610.0,610.0,610.5460739999999,620.0
probe_defer40,4,0,mlp_control,62,hard,620.0,620.0,620.5858509999999,630.0
probe_defer40,4,0,mlp_control,63,hard,630.0,630.0,630.5460739999999,640.0
probe_defer40,4,0,mlp_control,64,hard,640.0,640.0,640.5460739999999,650.0
probe_defer40,4,0,mlp_control,65,hard,650.0,650.0,650.5460739999999,660.0
probe_defer40,4,0,mlp_control,66,hard,660.0,660.0,660.5460739999999,670.0
probe_defer40,4,0,mlp_control,67,hard,670.0,670.0,670.5460739999999,680.0
probe_defer40,4,0,mlp_control,68,hard,680.0,680.0,680.7551129999993,690.0
probe_defer40,4,0,mlp_control,69,hard,690.0,690.0,690.5460739999999,700.0
probe_defer40,4,0,mlp_control,7,hard,70.0,70.0,70.54607400000002,80.0
probe_defer40,4,0,mlp_control,70,hard,700.0,700.0,700.6106629999992,710.0
probe_defer40,4,0,mlp_control,71,hard,710.0,710.0,710.5460739999999,720.0
probe_defer40,4,0,mlp_control,72,hard,720.0,720.0,720.5460739999999,730.0
probe_defer40,4,0,mlp_control,73,hard,730.0,730.0,730.5460739999999,740.0
probe_defer40,4,0,mlp_control,8,hard,80.0,80.0,80.62957200000002,90.0
probe_defer40,4,0,mlp_control,9,hard,90.0,90.0,90.54607400000002,100.0
probe_defer40,4,0,yolov8_nano_64,0,soft,40.0,40.546074,103.58571800000001,340.0
probe_defer40,4,0,yolov8_nano_64,1,soft,115.0,115.0,177.49209800000006,415.0
probe_defer40,4,0,yolov8_nano_64,2,soft,190.0,190.546074,257.51691000000005,490.0
probe_defer40,4,0,yolov8_nano_64,3,soft,265.0,265.0,327.4920979999999,565.0
probe_defer40,4,0,yolov8_nano_64,4,soft,340.0,340.5460739999999,407.51690999999977,640.0
probe_defer40,4,0,yolov8_nano_64,5,soft,415.0,415.0,477.4920979999999,715.0
probe_defer40,4,0,yolov8_nano_64,6,soft,490.0,490.5460739999999,557.5169099999999,790.0
probe_defer40,4,0,yolov8_nano_64,7,soft,565.0,565.0,627.492098,865.0
probe_defer40,4,0,yolov8_nano_64,8,soft,640.0,640.5460739999999,707.5169099999994,940.0
probe_defer40,4,0,yolov8_nano_64,9,soft,715.0,715.0,776.9264749999996,1015.0
