strategy,trajectory,epoch,offered_burst,candidate_id,output_valid_rate,valid_count,total_consumer_invocations,freshness_success_rate,deadline_success_rate,max_input_age,soft_completed,soft_offered,makespan_ms,switched,selector_reason
static_cand_c1_defer12,sustained,1,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,sustained,2,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,sustained,3,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,sustained,4,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,sustained,5,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,sustained,6,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,sustained,7,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,sustained,8,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c1_defer12,sustained,9,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
static_cand_c2_defer12_admit2,sustained,0,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,sustained,1,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,sustained,2,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,sustained,3,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,sustained,4,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,sustained,5,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
static_cand_c2_defer12_admit2,sustained,6,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,
